name,Genre,no_of_seasons,author,ongoing_or_completed
Death note,detective-fiction,1,takeshi obata,completed
My hero academia,"sci-fi , adventure",5,kohei horikoshi,ongoing
Haikyu!!,"sport, comedy",4,kishimomo,completed
Naruto,"adventure, action",9,masashi kishimoto,completed
Demon slayer,"action, fantasy",1,lucien dodge,completed
Hunter x hunter,"adventure, action",6,yoshihiro togashi,completed
Black clover,"adventure, thriller",3,yuki tabata,completed
Kakegurui,"mystery, thriller",2,homura kawamoto,completed
Dr.stone,"adventure, fantasy",1,riichiro inagaki,completed
Seven deadly sins,fantasy,5,Nakaba Suzuki,ongoing
Sword art online,"action, sci-fi, fantasy",4,reki kawahara,completed
Toradora,"drama, comedy",1,yuyuko takemiya,completed
Re:zero,"fantasy, sci-fy, thriller",2.2,nagatsuki tappei,completed
Darling in the franxx,"fantasy, romance",1,kentaro yabuki,completed
Tokyo ghoul,"horror, fantasy, thriller",4,sui idhida,completed
Fullmetal alchemist,"sci-fi, advemture, action",3,hiromu arakawa,completed
Code geass,"action, drama, fantasy",4,ichirou ohkouchi,completed
Jujutsu kaizen,adventure,1,gege akutami,completed
Rent a girlfriend,"comedy, romance",1,reiji miyajima,completed
One punch man,"comedy, fantasy",2,yusuke murata,completed
Bunny girl senpai,"comedy, romance, slice of life",2,masahiro yokotani,completed
Your lie in april,"music, drama, romance",1,naoshi arakawa,completed
My teen romantic comedy SNAFU,"slice of life, romance, comedy",3,wataru watari,completed
Never promised land,indie rock,1,kaiu shirai,completed
One piece,"action , adventure",20,eiichiro oda,ongoing
Mushoku tensei: jobless reincarnation is like magic,time travel,1,yuka fujikawa ,ongoing
Devil man cry baby,"horror,emotional, dark",1,bob buchholz,completed
Re:life,"slice of life, romance",1,yayoiso,completed
Violet evergarden,"emotional, romance",1,kana akatsuki,completed
